judge_run,answer_model_family,part,n,avg_score_0_to_4,avg_percent,score_distribution
minimax-m3-20260630-120035,claude,part1_first_30,90,3.733333,93.3333,"{""0"": 2, ""1"": 2, ""2"": 3, ""3"": 4, ""4"": 79}"
minimax-m3-20260630-120035,claude,part2_last_20,60,2.933333,73.3333,"{""0"": 1, ""1"": 13, ""2"": 8, ""3"": 5, ""4"": 33}"
minimax-m3-20260630-120035,claude,all,150,3.413333,85.3333,"{""0"": 3, ""1"": 15, ""2"": 11, ""3"": 9, ""4"": 112}"
minimax-m3-20260630-120035,gemini,part1_first_30,90,3.677778,91.9444,"{""0"": 1, ""2"": 7, ""3"": 11, ""4"": 71}"
minimax-m3-20260630-120035,gemini,part2_last_20,60,2.366667,59.1667,"{""0"": 1, ""1"": 26, ""2"": 6, ""3"": 4, ""4"": 23}"
minimax-m3-20260630-120035,gemini,all,150,3.153333,78.8333,"{""0"": 2, ""1"": 26, ""2"": 13, ""3"": 15, ""4"": 94}"
minimax-m3-20260630-120035,gpt,part1_first_30,90,3.488889,87.2222,"{""0"": 2, ""1"": 10, ""2"": 1, ""3"": 6, ""4"": 71}"
minimax-m3-20260630-120035,gpt,part2_last_20,60,2.65,66.25,"{""0"": 1, ""1"": 15, ""2"": 13, ""3"": 6, ""4"": 25}"
minimax-m3-20260630-120035,gpt,all,150,3.153333,78.8333,"{""0"": 3, ""1"": 25, ""2"": 14, ""3"": 12, ""4"": 96}"
minimax-m3-20260630-120035,all,part1_first_30,270,3.633333,90.8333,"{""0"": 5, ""1"": 12, ""2"": 11, ""3"": 21, ""4"": 221}"
minimax-m3-20260630-120035,all,part2_last_20,180,2.65,66.25,"{""0"": 3, ""1"": 54, ""2"": 27, ""3"": 15, ""4"": 81}"
minimax-m3-20260630-120035,all,all,450,3.24,81.0,"{""0"": 8, ""1"": 66, ""2"": 38, ""3"": 36, ""4"": 302}"
deepseek-v4-pro-20260630-121054,claude,part1_first_30,90,3.488889,87.2222,"{""0"": 3, ""2"": 5, ""3"": 24, ""4"": 58}"
deepseek-v4-pro-20260630-121054,claude,part2_last_20,60,2.95,73.75,"{""2"": 21, ""3"": 21, ""4"": 18}"
deepseek-v4-pro-20260630-121054,claude,all,150,3.273333,81.8333,"{""0"": 3, ""2"": 26, ""3"": 45, ""4"": 76}"
deepseek-v4-pro-20260630-121054,gemini,part1_first_30,90,3.2,80.0,"{""0"": 1, ""2"": 16, ""3"": 36, ""4"": 37}"
deepseek-v4-pro-20260630-121054,gemini,part2_last_20,60,2.45,61.25,"{""0"": 4, ""1"": 1, ""2"": 28, ""3"": 18, ""4"": 9}"
deepseek-v4-pro-20260630-121054,gemini,all,150,2.9,72.5,"{""0"": 5, ""1"": 1, ""2"": 44, ""3"": 54, ""4"": 46}"
deepseek-v4-pro-20260630-121054,gpt,part1_first_30,90,3.233333,80.8333,"{""0"": 9, ""1"": 1, ""2"": 5, ""3"": 20, ""4"": 55}"
deepseek-v4-pro-20260630-121054,gpt,part2_last_20,60,2.65,66.25,"{""0"": 7, ""2"": 19, ""3"": 15, ""4"": 19}"
deepseek-v4-pro-20260630-121054,gpt,all,150,3.0,75.0,"{""0"": 16, ""1"": 1, ""2"": 24, ""3"": 35, ""4"": 74}"
deepseek-v4-pro-20260630-121054,all,part1_first_30,270,3.307407,82.6852,"{""0"": 13, ""1"": 1, ""2"": 26, ""3"": 80, ""4"": 150}"
deepseek-v4-pro-20260630-121054,all,part2_last_20,180,2.683333,67.0833,"{""0"": 11, ""1"": 1, ""2"": 68, ""3"": 54, ""4"": 46}"
deepseek-v4-pro-20260630-121054,all,all,450,3.057778,76.4444,"{""0"": 24, ""1"": 2, ""2"": 94, ""3"": 134, ""4"": 196}"
minimax-m3-20260630-123355,claude,part1_first_30,90,3.722222,93.0556,"{""0"": 3, ""1"": 1, ""3"": 10, ""4"": 76}"
minimax-m3-20260630-123355,claude,part2_last_20,60,2.683333,67.0833,"{""0"": 3, ""1"": 16, ""2"": 4, ""3"": 11, ""4"": 26}"
minimax-m3-20260630-123355,claude,all,150,3.306667,82.6667,"{""0"": 6, ""1"": 17, ""2"": 4, ""3"": 21, ""4"": 102}"
minimax-m3-20260630-123355,gemini,part1_first_30,90,3.544444,88.6111,"{""1"": 4, ""2"": 5, ""3"": 19, ""4"": 62}"
minimax-m3-20260630-123355,gemini,part2_last_20,60,2.316667,57.9167,"{""0"": 1, ""1"": 22, ""2"": 8, ""3"": 15, ""4"": 14}"
minimax-m3-20260630-123355,gemini,all,150,3.053333,76.3333,"{""0"": 1, ""1"": 26, ""2"": 13, ""3"": 34, ""4"": 76}"
minimax-m3-20260630-123355,gpt,part1_first_30,90,3.522222,88.0556,"{""0"": 3, ""1"": 8, ""3"": 7, ""4"": 72}"
minimax-m3-20260630-123355,gpt,part2_last_20,60,2.566667,64.1667,"{""0"": 4, ""1"": 14, ""2"": 9, ""3"": 10, ""4"": 23}"
minimax-m3-20260630-123355,gpt,all,150,3.14,78.5,"{""0"": 7, ""1"": 22, ""2"": 9, ""3"": 17, ""4"": 95}"
minimax-m3-20260630-123355,all,part1_first_30,270,3.596296,89.9074,"{""0"": 6, ""1"": 13, ""2"": 5, ""3"": 36, ""4"": 210}"
minimax-m3-20260630-123355,all,part2_last_20,180,2.522222,63.0556,"{""0"": 8, ""1"": 52, ""2"": 21, ""3"": 36, ""4"": 63}"
minimax-m3-20260630-123355,all,all,450,3.166667,79.1667,"{""0"": 14, ""1"": 65, ""2"": 26, ""3"": 72, ""4"": 273}"
deepseek-v4-pro-20260630-123714,claude,part1_first_30,90,3.477778,86.9444,"{""0"": 3, ""2"": 4, ""3"": 27, ""4"": 56}"
deepseek-v4-pro-20260630-123714,claude,part2_last_20,60,2.966667,74.1667,"{""2"": 22, ""3"": 18, ""4"": 20}"
deepseek-v4-pro-20260630-123714,claude,all,150,3.273333,81.8333,"{""0"": 3, ""2"": 26, ""3"": 45, ""4"": 76}"
deepseek-v4-pro-20260630-123714,gemini,part1_first_30,90,3.177778,79.4444,"{""0"": 1, ""2"": 18, ""3"": 34, ""4"": 37}"
deepseek-v4-pro-20260630-123714,gemini,part2_last_20,60,2.45,61.25,"{""0"": 3, ""1"": 1, ""2"": 29, ""3"": 20, ""4"": 7}"
deepseek-v4-pro-20260630-123714,gemini,all,150,2.886667,72.1667,"{""0"": 4, ""1"": 1, ""2"": 47, ""3"": 54, ""4"": 44}"
deepseek-v4-pro-20260630-123714,gpt,part1_first_30,90,3.2,80.0,"{""0"": 9, ""1"": 1, ""2"": 5, ""3"": 23, ""4"": 52}"
deepseek-v4-pro-20260630-123714,gpt,part2_last_20,60,2.65,66.25,"{""0"": 7, ""2"": 19, ""3"": 15, ""4"": 19}"
deepseek-v4-pro-20260630-123714,gpt,all,150,2.98,74.5,"{""0"": 16, ""1"": 1, ""2"": 24, ""3"": 38, ""4"": 71}"
deepseek-v4-pro-20260630-123714,all,part1_first_30,270,3.285185,82.1296,"{""0"": 13, ""1"": 1, ""2"": 27, ""3"": 84, ""4"": 145}"
deepseek-v4-pro-20260630-123714,all,part2_last_20,180,2.688889,67.2222,"{""0"": 10, ""1"": 1, ""2"": 70, ""3"": 53, ""4"": 46}"
deepseek-v4-pro-20260630-123714,all,all,450,3.046667,76.1667,"{""0"": 23, ""1"": 2, ""2"": 97, ""3"": 137, ""4"": 191}"
