judge_family,source_judge_runs,answer_model_family,rollout,part,n_answers,n_judgments,avg_score_0_to_4,avg_percent,score_distribution
minimax,minimax-m3-fair-20260701,claude,1,part1_first_30,30,30,3.8,95.0,"{""0"": 1, ""3"": 2, ""4"": 27}"
minimax,minimax-m3-fair-20260701,claude,1,part2_last_20,20,20,3.05,76.25,"{""0"": 1, ""1"": 3, ""2"": 2, ""3"": 2, ""4"": 12}"
minimax,minimax-m3-fair-20260701,claude,1,all,50,50,3.5,87.5,"{""0"": 2, ""1"": 3, ""2"": 2, ""3"": 4, ""4"": 39}"
minimax,minimax-m3-fair-20260701,claude,2,part1_first_30,30,30,3.766667,94.1667,"{""0"": 1, ""2"": 1, ""3"": 1, ""4"": 27}"
minimax,minimax-m3-fair-20260701,claude,2,part2_last_20,20,20,3.15,78.75,"{""1"": 4, ""2"": 2, ""3"": 1, ""4"": 13}"
minimax,minimax-m3-fair-20260701,claude,2,all,50,50,3.52,88.0,"{""0"": 1, ""1"": 4, ""2"": 3, ""3"": 2, ""4"": 40}"
minimax,minimax-m3-fair-20260701,claude,3,part1_first_30,30,30,3.8,95.0,"{""1"": 1, ""3"": 3, ""4"": 26}"
minimax,minimax-m3-fair-20260701,claude,3,part2_last_20,20,20,3.3,82.5,"{""1"": 3, ""2"": 2, ""3"": 1, ""4"": 14}"
minimax,minimax-m3-fair-20260701,claude,3,all,50,50,3.6,90.0,"{""1"": 4, ""2"": 2, ""3"": 4, ""4"": 40}"
minimax,minimax-m3-fair-20260701,gemini,1,part1_first_30,30,30,3.733333,93.3333,"{""2"": 2, ""3"": 4, ""4"": 24}"
minimax,minimax-m3-fair-20260701,gemini,1,part2_last_20,20,20,2.7,67.5,"{""0"": 1, ""1"": 5, ""2"": 1, ""3"": 5, ""4"": 8}"
minimax,minimax-m3-fair-20260701,gemini,1,all,50,50,3.32,83.0,"{""0"": 1, ""1"": 5, ""2"": 3, ""3"": 9, ""4"": 32}"
minimax,minimax-m3-fair-20260701,gemini,2,part1_first_30,30,30,3.6,90.0,"{""1"": 1, ""2"": 3, ""3"": 3, ""4"": 23}"
minimax,minimax-m3-fair-20260701,gemini,2,part2_last_20,20,20,2.7,67.5,"{""0"": 1, ""1"": 5, ""2"": 3, ""3"": 1, ""4"": 10}"
minimax,minimax-m3-fair-20260701,gemini,2,all,50,50,3.24,81.0,"{""0"": 1, ""1"": 6, ""2"": 6, ""3"": 4, ""4"": 33}"
minimax,minimax-m3-fair-20260701,gemini,3,part1_first_30,30,30,3.5,87.5,"{""0"": 1, ""1"": 1, ""2"": 1, ""3"": 6, ""4"": 21}"
minimax,minimax-m3-fair-20260701,gemini,3,part2_last_20,20,20,2.5,62.5,"{""1"": 7, ""2"": 3, ""3"": 3, ""4"": 7}"
minimax,minimax-m3-fair-20260701,gemini,3,all,50,50,3.1,77.5,"{""0"": 1, ""1"": 8, ""2"": 4, ""3"": 9, ""4"": 28}"
minimax,minimax-m3-fair-20260701,gpt,1,part1_first_30,30,30,3.5,87.5,"{""0"": 1, ""1"": 2, ""2"": 1, ""3"": 3, ""4"": 23}"
minimax,minimax-m3-fair-20260701,gpt,1,part2_last_20,20,20,3.0,75.0,"{""1"": 4, ""2"": 3, ""3"": 2, ""4"": 11}"
minimax,minimax-m3-fair-20260701,gpt,1,all,50,50,3.3,82.5,"{""0"": 1, ""1"": 6, ""2"": 4, ""3"": 5, ""4"": 34}"
minimax,minimax-m3-fair-20260701,gpt,2,part1_first_30,30,30,3.533333,88.3333,"{""0"": 1, ""1"": 1, ""2"": 3, ""3"": 1, ""4"": 24}"
minimax,minimax-m3-fair-20260701,gpt,2,part2_last_20,20,20,2.4,60.0,"{""0"": 1, ""1"": 7, ""2"": 2, ""3"": 3, ""4"": 7}"
minimax,minimax-m3-fair-20260701,gpt,2,all,50,50,3.08,77.0,"{""0"": 2, ""1"": 8, ""2"": 5, ""3"": 4, ""4"": 31}"
minimax,minimax-m3-fair-20260701,gpt,3,part1_first_30,30,30,3.566667,89.1667,"{""1"": 3, ""3"": 4, ""4"": 23}"
